Entity,Code,Year,"Incidence of malaria (per 1,000 population at risk)"
Mali,MLI,2000,394.98
Mali,MLI,2001,396.22
Mali,MLI,2002,405.09
Mali,MLI,2003,412.36
Mali,MLI,2004,417.89
Mali,MLI,2005,419.83
Mali,MLI,2006,395.08
Mali,MLI,2007,378.67
Mali,MLI,2008,369.17
Mali,MLI,2009,364.79
Mali,MLI,2010,373.6
Mali,MLI,2011,394.18
Mali,MLI,2012,424.29
Mali,MLI,2013,441
Mali,MLI,2014,429.54
Mali,MLI,2015,381.71
Mali,MLI,2016,374.39
Mali,MLI,2017,376.98
Mali,MLI,2018,377.17
Mali,MLI,2019,325.76
Mali,MLI,2020,349.39
Mali,MLI,2021,345.92
Mali,MLI,2022,346.22
Mali,MLI,2023,346.22
Mali,MLI,2024,346.22
